time,size_sent,size_rcv 
0,17.165625,83.42890625 
10,36.48046875,140.38671875 
20,24.23125,86.58125 
30,40.27421875,171.9984375 
40,83.73359375,424.74765625 
50,107.434375,429.7265625 
60,131.3234375,658.32265625 
70,212.675,940.99296875 
80,323.071875,1427.71484375 
90,356.43828125,1352.965625 
100,445.825,1639.3734375 
110,606.2734375,1536.97734375 
120,946.8984375,1960.41328125 
130,1149.59296875,2009.08125 
140,1617.71796875,2460.2109375 
150,2012.26171875,2914.53125 
160,2772.5984375,3906.590625 
170,3377.24140625,4562.1609375 
180,2102.65078125,2532.60703125 
190,1240.86015625,2338.1390625 
200,680.3234375,967.6390625 
210,304.06953125,428.64296875 
220,92.71953125,120.50703125 
230,38.76875,49.49921875 
240,16.6015625,19.86796875 
250,6.6921875,6.2078125 
260,4.59921875,5.20078125 
270,4.30390625,3.16640625 
280,5.9859375,4.96640625 
