time,size_sent,size_rcv 
0,17.165625,83.42890625 
10,53.64609375,223.815625 
20,77.87734375,310.396875 
30,118.1515625,482.3953125 
40,201.88515625,907.14296875 
50,309.31953125,1336.86953125 
60,440.64296875,1995.1921875 
70,653.31796875,2936.18515625 
80,976.38984375,4363.9 
90,1332.828125,5716.865625 
100,1778.653125,7356.2390625 
110,2384.9265625,8893.21640625 
120,3331.825,10853.6296875 
130,4481.41796875,12862.7109375 
140,6099.1359375,15322.921875 
150,8111.39765625,18237.453125 
160,10883.99609375,22144.04375 
170,14261.2375,26706.2046875 
180,16363.88828125,29238.81171875 
190,17604.7484375,31576.95078125 
200,18285.071875,32544.58984375 
210,18589.14140625,32973.2328125 
220,18681.8609375,33093.73984375 
230,18720.6296875,33143.2390625 
240,18737.23125,33163.10703125 
250,18743.9234375,33169.31484375 
260,18748.52265625,33174.515625 
270,18752.8265625,33177.68203125 
280,18758.8125,33182.6484375 
