time,page 
0,80.54147826086958 
10,38.89884615384615 
20,19.673894736842104 
30,58.35758181818181 
40,58.58475423728813 
50,65.34418791946305 
60,61.409962162162195 
70,114.299762541806 
80,315.0910682819385 
90,857.7513975903612 
100,1905.4931067961147 
110,1668.54255941499 
120,1041.943205458287 
130,750.6857783742328 
140,480.64591497659904 
150,408.30027594293523 
160,251.62226478080112 
170,208.69235639880964 
180,351.8480402371131 
190,444.2914864864891 
200,5.286597835888188 
210,6.101676706827314 
220,5.658671140939599 
230,7.0637142857142825 
240,6.545807692307692 
250,9.357916666666666 
260,11.29457142857143 
270,14.328666666666669 
280,10.770500000000002 
