time,freemem@tsung_controller@ip-172-31-17-149 
0,3407.2890625 
10,3403.671875 
20,3403.1875 
30,3402.69140625 
40,3402.69140625 
50,3398.20703125 
60,3397.54296875 
70,3390.8671875 
80,3387.23046875 
90,3372.3671875 
100,3362.19921875 
110,3339.359375 
120,3326.5234375 
130,3312.8984375 
140,3276.828125 
150,3260.8359375 
160,3254.05859375 
170,3189.4453125 
180,3171.66015625 
190,3170.33984375 
200,3170.33984375 
210,3170.33984375 
220,3170.33984375 
230,3170.33984375 
240,3170.33984375 
250,3170.33984375 
260,3170.33984375 
270,3170.33984375 
280,3170.33984375 
