time,session 
0,3973.6000000000004 
10,7785.705 
20,13509.636000000002 
30,8579.009866666665 
40,6326.335111111111 
50,5606.452024999998 
60,5615.690499999999 
70,8811.164783333335 
80,9224.591645161288 
90,8816.758333333333 
100,12470.489716814163 
110,10774.706524663674 
120,10757.228185089969 
130,9204.62929020333 
140,8901.805072704075 
150,9152.321852611962 
160,8583.698993373071 
170,8125.989783902448 
180,11521.939490313966 
190,24953.93707079646 
200,33671.2987013889 
210,42223.01021428572 
220,49173.47074324324 
230,66826.4912142857 
240,79276.88466666666 
250,85784.14871428572 
260,99037.53966666666 
270,120665.98133333334 
280,123355.7094 
