time,freemem@tsung_controller@ip-172-31-17-149 
0,3407.2890625 
10,3403.671875 
20,3403.1875 
30,3402.69140625 
40,3402.828125 
50,3398.20703125 
60,3397.54296875 
70,3390.8671875 
80,3387.23046875 
90,3372.3671875 
100,3362.19921875 
110,3339.359375 
120,3326.5234375 
130,3312.8984375 
140,3276.828125 
150,3260.8359375 
160,3254.05859375 
170,3189.4453125 
180,3171.66015625 
190,3170.33984375 
200,3177.01171875 
210,3195.67578125 
220,3206.06640625 
230,3209.09765625 
240,3210.6640625 
250,3228.3359375 
260,3230.59375 
270,3238.703125 
280,3263.109375 
